Tick,Coal_Carbon,Gas_Carbon,Nuclear_Carbon,Wind_Carbon,Coal_Electricity,Gas_Electricity,Nuclear_Electricity,Wind_Electricity
1,6.9764792E7,8.1097584E7,4636234.5,366399.53,1354.8474,3335.6536,2554.568,1204.0826
2,6.9764792E7,8.1097584E7,4636234.5,366399.53,1354.8474,3335.6536,2554.568,1204.0826
3,6.6001012E7,8.1097584E7,4636234.5,372819.38,1285.1654,3335.6536,2554.568,1229.0388
4,6.222244E7,8.1097584E7,4908432.5,372819.38,1216.876,3335.6536,2700.823,1229.0388
5,6.5777576E7,8.1097584E7,4908432.5,372819.38,1283.5653,3335.6536,2700.823,1229.0388
6,6.5777576E7,8.1097584E7,4908432.5,372819.38,1283.5653,3335.6536,2700.823,1229.0388
7,6.5777576E7,8.1097584E7,4908432.5,372819.38,1283.5653,3335.6536,2700.823,1229.0388
8,6.5777576E7,8.1097584E7,4908432.5,372819.38,1283.5653,3335.6536,2700.823,1229.0388
9,6.5777576E7,8.1097584E7,4908432.5,372819.38,1283.5653,3335.6536,2700.823,1229.0388
10,6.5777576E7,8.1097584E7,4908432.5,372819.38,1283.5653,3335.6536,2700.823,1229.0388
11,6.5777576E7,8.1097584E7,4908432.5,378687.1,1283.5653,3335.6536,2700.823,1251.3505
12,7.3319928E7,8.1097584E7,4908432.5,371126.72,1421.5369,3335.6536,2700.823,1226.8536
13,7.3319928E7,8.1097584E7,4908432.5,378385.66,1421.5369,3335.6536,2700.823,1251.7596
14,7.3319928E7,8.1097584E7,4908432.5,378385.66,1421.5369,3335.6536,2700.823,1251.7596
15,7.3319928E7,8.1097584E7,4908432.5,386261.62,1421.5369,3335.6536,2700.823,1277.9725
16,7.3319928E7,8.1097584E7,4908432.5,393771.5,1421.5369,3335.6536,2700.823,1303.5057
17,7.3319928E7,8.1097584E7,4908432.5,393771.5,1421.5369,3335.6536,2700.823,1303.5057
18,7.3319928E7,8.1097584E7,4908432.5,393771.5,1421.5369,3335.6536,2700.823,1303.5057
19,7.3319928E7,8.1097584E7,4908432.5,393771.5,1421.5369,3335.6536,2700.823,1303.5057
20,7.3319928E7,8.1097584E7,4908432.5,393771.5,1421.5369,3335.6536,2700.823,1303.5057
21,7.3319928E7,8.1097584E7,4908432.5,393771.5,1421.5369,3335.6536,2700.823,1303.5057
22,7.3319928E7,8.2478976E7,4908432.5,393771.5,1421.5369,3388.4114,2700.823,1303.5057
23,7.3319928E7,8.2478976E7,4908432.5,386299.1,1421.5369,3388.4114,2700.823,1278.9247
24,7.3319928E7,8.2478976E7,4908432.5,392219.97,1421.5369,3388.4114,2700.823,1302.2963
25,7.3319928E7,8.2478976E7,4908432.5,392219.97,1421.5369,3388.4114,2700.823,1302.2963
26,7.3319928E7,8.371688E7,4908432.5,392219.97,1421.5369,3438.3574,2700.823,1302.2963
27,7.3319928E7,8.371688E7,4908432.5,392219.97,1421.5369,3438.3574,2700.823,1302.2963
28,7.3319928E7,8.371688E7,4908432.5,392219.97,1421.5369,3438.3574,2700.823,1302.2963
29,7.3319928E7,8.371688E7,4908432.5,392219.97,1421.5369,3438.3574,2700.823,1302.2963
30,7.3319928E7,8.371688E7,4908432.5,392219.97,1421.5369,3438.3574,2700.823,1302.2963
31,7.689744E7,8.371688E7,4908432.5,392219.97,1485.6755,3438.3574,2700.823,1302.2963
32,7.689744E7,8.371688E7,4908432.5,399692.4,1485.6755,3438.3574,2700.823,1326.8773
33,7.689744E7,8.371688E7,4908432.5,399692.4,1485.6755,3438.3574,2700.823,1326.8773
34,7.689744E7,8.371688E7,4908432.5,407303.4,1485.6755,3438.3574,2700.823,1351.8142
35,6.688204E7,8.4894624E7,4908432.5,407303.4,1291.633,3487.663,2700.823,1351.8142
36,6.688204E7,8.4894624E7,4908432.5,407303.4,1291.633,3487.663,2700.823,1351.8142
37,6.688204E7,8.4894624E7,4908432.5,407303.4,1291.633,3487.663,2700.823,1351.8142
38,6.688204E7,8.4894624E7,4908432.5,407303.4,1291.633,3487.663,2700.823,1351.8142
39,6.688204E7,8.4894624E7,4908432.5,407303.4,1291.633,3487.663,2700.823,1351.8142
40,6.688204E7,8.6072288E7,4908432.5,407303.4,1291.633,3537.0488,2700.823,1351.8142
41,6.688204E7,8.6072288E7,4908432.5,407303.4,1291.633,3537.0488,2700.823,1351.8142
42,7.009716E7,8.6072288E7,4908432.5,407303.4,1354.482,3537.0488,2700.823,1351.8142
43,7.009716E7,8.6072288E7,4908432.5,407303.4,1354.482,3537.0488,2700.823,1351.8142
44,6.3103464E7,8.6072288E7,5194857.5,407303.4,1223.3438,3537.0488,2855.078,1351.8142
45,6.3103464E7,8.6072288E7,5194857.5,415132.94,1223.3438,3537.0488,2855.078,1377.2773
