ID,Tick,Electricity,Carbon,MoneyTick,MoneyTotal
0,0,0.0,0.0,0.0,422944.7
1,0,0.0,0.0,0.0,408799.75
2,0,0.0,0.0,0.0,420887.12
3,0,0.0,0.0,0.0,416178.25
4,0,0.0,0.0,0.0,413045.75
5,0,0.0,0.0,0.0,429724.56
6,0,0.0,0.0,0.0,429468.97
7,0,0.0,0.0,0.0,466494.97
8,0,0.0,0.0,0.0,383132.44
9,0,0.0,0.0,0.0,447274.4
10,0,0.0,0.0,0.0,431759.72
11,0,0.0,0.0,0.0,397126.97
12,0,0.0,0.0,0.0,429919.38
13,0,0.0,0.0,0.0,408655.12
14,0,0.0,0.0,0.0,439518.97
15,0,0.0,0.0,0.0,394983.25
16,0,0.0,0.0,0.0,422228.8
17,0,0.0,0.0,0.0,420158.62
18,0,0.0,0.0,0.0,421821.8
19,0,0.0,0.0,0.0,414645.94
20,0,0.0,0.0,0.0,415759.78
21,0,0.0,0.0,0.0,383840.8
22,0,0.0,0.0,0.0,421634.4
23,0,0.0,0.0,0.0,400118.3
24,0,0.0,0.0,0.0,392645.97
25,0,0.0,0.0,0.0,435959.94
26,0,0.0,0.0,0.0,400740.28
27,0,0.0,0.0,0.0,395355.97
28,0,0.0,0.0,0.0,435471.56
29,0,0.0,0.0,0.0,422978.66
10,1,692.1532,1095721.2,105942.06,537701.75
28,1,794.26276,1.2551608E7,122755.41,558226.94
12,1,518.4006,1.4772393E7,71091.375,501010.66
26,1,433.78296,7554129.5,64912.832,465653.12
2,1,634.59283,1.0081895E7,95108.84,515996.0
1,1,395.7564,7962816.0,59066.93,467866.62
15,1,313.44922,1.3882406E7,38616.938,433600.2
16,1,488.25616,1.244428E7,74773.164,497001.97
20,1,627.19653,1.6537636E7,95364.75,511124.44
29,1,592.0854,2876014.2,93277.484,516256.16
5,1,398.8791,116713.31,65599.695,495324.38
17,1,532.927,8544222.0,81805.06,501963.62
4,1,840.536,9349918.0,134069.03,547114.8
14,1,427.08118,1.8236808E7,51155.633,490674.66
8,1,643.10876,1.240219E7,96784.28,479916.7
22,1,473.68994,5357643.0,74538.47,496172.78
27,1,708.0373,1.558335E7,102826.26,498182.22
18,1,783.40765,1.1957188E7,127785.266,549607.0
6,1,725.8374,2.8563518E7,95411.2,524880.2
13,1,483.88657,1.2149564E7,73996.6,482651.7
0,1,519.21533,1.696924E7,71115.71,494060.4
3,1,780.84644,1.2533444E7,120642.77,536821.06
21,1,696.9705,1173268.0,106540.195,490381.06
11,1,667.7007,7536358.5,100135.234,497262.22
24,1,560.4703,5053960.0,83804.45,476450.38
9,1,499.27866,8334210.0,72772.35,520046.72
19,1,686.5609,1.5246243E7,96455.53,511101.44
23,1,433.73654,3745015.5,67778.36,467896.7
25,1,472.12485,1.4265E7,63337.67,499297.53
7,1,568.87823,1.2905916E7,82979.5,549474.44
6,2,336.8417,1.3600131E7,45681.95,553266.4
7,2,284.43912,6452958.0,41489.75,581425.9
4,2,249.88554,3724347.5,43294.973,570593.56
23,2,170.55386,49599.87,28721.27,487631.2
21,2,348.48523,586634.0,53270.1,532452.0
22,2,177.74065,54142.605,29931.521,516984.47
26,2,216.89148,3777064.8,32910.55,491727.88
12,2,259.2003,7386197.0,36356.324,527377.1
16,2,269.60922,6850879.0,42305.71,532454.7
29,2,177.2196,54026.902,29843.785,531869.75
1,2,197.8782,3981408.0,29533.46,491687.88
5,2,173.16331,49721.504,29160.701,518500.0
2,2,317.29645,5040947.0,47554.42,553645.3
14,2,247.33624,1.0987398E7,30949.637,511799.97
18,2,268.31927,4499072.0,46722.383,580064.3
9,2,171.97322,50389.227,28960.291,534593.0
0,2,284.02487,9085043.0,40694.566,525031.25
20,2,288.57288,7695312.5,45776.645,544439.8
28,2,397.1314,6275804.0,61377.703,608229.2
25,2,284.37814,8271336.0,41025.652,530779.25
15,2,156.72461,6941203.0,19308.469,446547.2
19,2,343.28046,7623121.5,48227.766,547310.4
10,2,346.0766,547860.6,52971.03,579603.94
13,2,267.7567,6769818.0,41981.586,517812.25
27,2,252.30307,7064383.0,35479.45,519327.38
3,2,390.42322,6266721.5,60321.387,585945.0
17,2,154.70668,48191.805,26052.604,518903.16
8,2,321.55438,6201095.0,48392.14,518301.12
24,2,148.4428,42349.395,24997.768,485283.7
11,2,186.97061,3497472.0,27976.906,514877.1
26,3,216.89148,3777064.8,32910.55,517884.38
22,3,473.68994,5357643.0,74864.8,591849.3
25,3,284.37814,8271336.0,41025.652,562258.25
7,3,284.43912,6452958.0,41489.75,613377.3
13,3,267.7567,6769818.0,41981.586,552972.94
29,3,592.0854,2876014.2,94194.19,626063.8
11,3,667.7007,7536358.5,100135.234,615012.3
16,3,269.60922,6850879.0,42305.71,567907.44
18,3,783.40765,1.1957188E7,128830.17,708894.6
8,3,321.55438,6201095.0,48392.14,556685.6
27,3,708.0373,1.558335E7,102826.26,622153.6
3,3,390.42322,6266721.5,60321.387,635068.94
