ID,Tick,Type,Carbon,Electricity
10,1,WIND,7672.36,25.379017
28,1,WIND,7471.421,24.365429
12,1,WIND,5993.2485,22.363504
26,1,WIND,6664.121,23.230957
2,1,WIND,7949.9355,25.02797
1,1,WIND,6740.8784,22.934078
15,1,WIND,7666.6606,25.540228
16,1,WIND,6111.5796,22.333403
20,1,WIND,7113.765,24.756813
29,1,WIND,7075.251,24.024067
5,1,WIND,6539.2695,23.860136
17,1,WIND,7055.4863,24.617933
4,1,WIND,6298.7544,23.379398
14,1,WIND,6939.98,23.551096
8,1,COAL,3718055.0,67.39967
22,1,WIND,6749.568,23.550034
27,1,WIND,7050.296,23.382
18,1,WIND,6392.752,23.330624
6,1,WIND,6620.162,23.528091
13,1,WIND,6351.1216,23.299572
0,1,WIND,6277.0415,22.371792
3,1,WIND,7852.4297,25.271923
21,1,WIND,6364.914,23.306051
11,1,WIND,5487.323,23.06256
24,1,WIND,6550.8,23.451092
9,1,WIND,6727.553,23.4434
19,1,WIND,7462.057,24.700108
23,1,WIND,6434.755,23.367205
25,1,WIND,7726.5933,24.347055
7,1,COAL,4750975.0,73.965324
10,1,WIND,8504.135,25.793749
28,1,WIND,7200.0977,24.865278
12,1,WIND,6832.2056,23.504208
26,1,WIND,6187.7803,23.341574
2,1,WIND,8460.607,26.221386
1,1,WIND,7864.3823,25.29688
15,1,COAL,2955860.5,62.21297
16,1,WIND,7061.204,24.223608
20,1,WIND,8137.548,25.284128
29,1,WIND,6606.4155,24.327658
5,1,WIND,6847.5083,24.413872
17,1,WIND,7506.157,24.993223
4,1,WIND,7245.198,24.17215
14,1,WIND,8341.565,25.603962
8,1,GAS,1068581.5,46.539146
22,1,WIND,6761.327,24.054058
27,1,WIND,6721.631,23.983292
18,1,WIND,7348.921,25.616453
6,1,WIND,7340.8423,24.346632
13,1,WIND,6640.559,24.610497
0,1,WIND,6739.844,24.35156
3,1,WIND,7460.358,25.35847
21,1,WIND,7221.2944,24.356125
11,1,WIND,6050.552,23.06299
24,1,WIND,6651.1177,23.760445
9,1,WIND,6750.979,23.709698
